year	teamID	finalTeamID	teamName
1961	PHW	GSW	Philadelphia Warriors
1961	STL	ATL	St. Louis Hawks
1961	SYR	PHI	Syracuse Nationals
1962	BOS	BOS	Boston Celtics
1962	CHP	WAS	Chicago Packers
1962	CIN	SAC	Cincinnati Royals
1962	DET	DET	Detroit Pistons
1962	LAL	LAL	Los Angeles Lakers
1962	NYK	NYK	New York Knicks
1962	PHW	GSW	Philadelphia Warriors
1962	STL	ATL	St. Louis Hawks
1962	SYR	PHI	Syracuse Nationals
1963	BOS	BOS	Boston Celtics
1963	CHZ	WAS	Chicago Zephyrs
1963	CIN	SAC	Cincinnati Royals
1963	DET	DET	Detroit Pistons
1963	LAL	LAL	Los Angeles Lakers
1963	NYK	NYK	New York Knicks
1963	SFW	GSW	San Francisco Warriors
1963	STL	ATL	St. Louis Hawks
1963	SYR	PHI	Syracuse Nationals
1964	BAL	WAS	Baltimore Bullets
1964	BOS	BOS	Boston Celtics
1964	CIN	SAC	Cincinnati Royals
1964	DET	DET	Detroit Pistons
1964	LAL	LAL	Los Angeles Lakers
1964	NYK	NYK	New York Knicks
1964	PHI	PHI	Philadelphia 76ers
1964	SFW	GSW	San Francisco Warriors
1964	STL	ATL	St. Louis Hawks
1965	BAL	WAS	Baltimore Bullets
1965	BOS	BOS	Boston Celtics
1965	CIN	SAC	Cincinnati Royals
1965	DET	DET	Detroit Pistons
1965	LAL	LAL	Los Angeles Lakers
1965	NYK	NYK	New York Knicks
1965	PHI	PHI	Philadelphia 76ers
1965	SFW	GSW	San Francisco Warriors
1965	STL	ATL	St. Louis Hawks
1966	BAL	WAS	Baltimore Bullets
1966	BOS	BOS	Boston Celtics
1966	CIN	SAC	Cincinnati Royals
1966	DET	DET	Detroit Pistons
1966	LAL	LAL	Los Angeles Lakers
1966	NYK	NYK	New York Knicks
1966	PHI	PHI	Philadelphia 76ers
1966	SFW	GSW	San Francisco Warriors
1966	STL	ATL	St. Louis Hawks
1967	BAL	WAS	Baltimore Bullets
1967	BOS	BOS	Boston Celtics
1967	CHI	CHI	Chicago Bulls
1967	CIN	SAC	Cincinnati Royals
1967	DET	DET	Detroit Pistons
1967	LAL	LAL	Los Angeles Lakers
1967	NYK	NYK	New York Knicks
1967	PHI	PHI	Philadelphia 76ers
1967	SFW	GSW	San Francisco Warriors
1967	STL	ATL	St. Louis Hawks
1968	BAL	WAS	Baltimore Bullets
1968	BOS	BOS	Boston Celtics
1968	CHI	CHI	Chicago Bulls
1968	CIN	SAC	Cincinnati Royals
1968	DET	DET	Detroit Pistons
1968	LAL	LAL	Los Angeles Lakers
1968	NYK	NYK	New York Knicks
1968	PHI	PHI	Philadelphia 76ers
1968	SDR	HOU	San Diego Rockets
1968	SEA	OKC	Seattle SuperSonics
1968	SFW	GSW	San Francisco Warriors
1968	STL	ATL	St. Louis Hawks
1969	ATL	ATL	Atlanta Hawks
1969	BAL	WAS	Baltimore Bullets
1969	BOS	BOS	Boston Celtics
1969	CHI	CHI	Chicago Bulls
1969	CIN	SAC	Cincinnati Royals
1969	DET	DET	Detroit Pistons
1969	LAL	LAL	Los Angeles Lakers
1969	MIL	MIL	Milwaukee Bucks
1969	NYK	NYK	New York Knicks
1969	PHI	PHI	Philadelphia 76ers
1969	PHO	PHO	Phoenix Suns
1969	SDR	HOU	San Diego Rockets
1969	SEA	OKC	Seattle SuperSonics
1969	SFW	GSW	San Francisco Warriors
1970	ATL	ATL	Atlanta Hawks
1970	BAL	WAS	Baltimore Bullets
1970	BOS	BOS	Boston Celtics
1970	CHI	CHI	Chicago Bulls
1970	CIN	SAC	Cincinnati Royals
