year	teamID	name	playerID
1951	MNL	Vern Mikkelsen	mikkeve01
1951	MNL	Kevin O'Shea	osheake01
1951	MNL	Jim Pollard	pollaji01
1951	NYK	Vince Boryla	borylvi01
1951	NYK	Nat Clifton	cliftna01
1951	NYK	Ray Ellefson	ellefra01
1951	NYK	Harry Gallatin	gallaha01
1951	NYK	Gene James	jamesge01
1951	NYK	George Kaftan	kaftage01
1951	NYK	Tony Lavelli	lavelto01
1951	NYK	Ray Lumpp	lumppra01
1951	NYK	Dick McGuire	mcguidi01
1951	NYK	Tex Ritter	rittete01
1951	NYK	Connie Simmons	simmoco01
1951	NYK	Ernie Vandeweghe	vandeer01
1951	NYK	Max Zaslofsky	zasloma01
1951	PHW	Paul Arizin	arizipa01
1951	PHW	Nelson Bobb	bobbne01
1951	PHW	Ike Borsavage	borsaik01
1951	PHW	Bill Closs	clossbi01
1951	PHW	Joe Fulks	fulksjo01
1951	PHW	Vern Gardner	gardnve01
1951	PHW	Ron Livingstone	livinro01
1951	PHW	Ed Mikan	mikaned01
1951	PHW	Leo Mogus	mogusle01
1951	PHW	Easy Parham	parhaea01
1951	PHW	Andy Phillip	phillan01
1951	PHW	George Senesky	senesge01
1951	ROC	Bill Calhoun	calhobi01
1951	ROC	Jack Coleman	colemja01
1951	ROC	Bob Davies	daviebo01
1951	ROC	Red Holzman	holzmre01
1951	ROC	Arnie Johnson	johnsar01
1951	ROC	Joe McNamee	mcnamjo01
1951	ROC	Ed Mikan	mikaned01
1951	ROC	Paul Noel	noelpa01
1951	ROC	Arnie Risen	risenar01
1951	ROC	Pep Saul	saulpe01
1951	ROC	Bobby Wanzer	wanzebo01
1951	SYR	Gerry Calabrese	calabge01
1951	SYR	Al Cervi	cervial01
1951	SYR	Leroy Chollet	chollle01
1951	SYR	Bill Gabor	gaborbi01
1951	SYR	Alex Hannum	hannual01
1951	SYR	Noble Jorgensen	jorgeno01
1951	SYR	Don Lofgran	lofgrdo01
1951	SYR	Johnny Macknowswki	macknjo01
1951	SYR	Ed Peterson	petered01
1951	SYR	George Ratkovicz	ratkoge01
1951	SYR	Dolph Schayes	schaydo01
1951	SYR	Fred Scolari	scolafr01
1951	SYR	Paul Seymour	seymopa01
1951	SYR	Belus Smawley	smawlbe01
1951	TRI	Ed Beach	beached01
1951	TRI	Harry Boykoff	boykoha01
1951	TRI	Frankie Brian	brianfr01
1951	TRI	Tommy Byrnes	byrneto01
1951	TRI	Bob Carpenter	carpebo01
1951	TRI	Cal Christensen	chrisca01
1951	TRI	Ray Corley	corlera01
1951	TRI	Hank DeZonie	dezonha01
1951	TRI	Dike Eddleman	eddledi01
1951	TRI	Ed Gayda	gaydaed01
1951	TRI	John Hargis	hargijo01
1951	TRI	Kleggie Hermsen	hermskl01
1951	TRI	Noble Jorgensen	jorgeno01
1951	TRI	John Logan	loganjo01
1951	TRI	Jack Nichols	nichoja01
1951	TRI	Warren Perkins	perkiwa01
1951	TRI	Ed Peterson	petered01
1951	TRI	Herb Scherer	scherhe01
1951	TRI	Mike Todorovich	todormi01
1951	TRI	Gene Vance	vancege01
1951	WSC	Ed Bartels	barteed01
1951	WSC	Tommy Byrnes	byrneto01
1951	WSC	Chuck Gilmur	gilmuch01
1951	WSC	Chick Halbert	halbech01
1951	WSC	Frank Kudelka	kudelfr01
1951	WSC	Earl Lloyd	lloydea01
1951	WSC	Ariel Maughan	maughar01
1951	WSC	Bones McKinney	mckinbo01
1951	WSC	Ed Mikan	mikaned01
1951	WSC	Johnny Norlander	norlajo01
1951	WSC	Dick O'Keefe	okeefdi01
1951	WSC	Tommy O'Keefe	okeefto01
1951	WSC	Don Otten	ottendo01
1951	WSC	Alan Sawyer	sawyeal01
1951	WSC	Dick Schnittker	schnidi01
1951	WSC	Fred Scolari	scolafr01
1951	WSC	Bill Sharman	sharmbi01
1952	BLB	Don Barksdale	barksdo01
1952	BLB	Bill Calhoun	calhobi01
1952	BLB	Alex Hannum	hannual01
1952	BLB	Frank Kudelka	kudelfr01
1952	BLB	Joe McNamee	mcnamjo01
1952	BLB	Stan Miasek	miasest01
1952	BLB	Dave Minor	minorda01
1952	BLB	Kevin O'Shea	osheake01
1952	BLB	Red Owens	owensre01
1952	BLB	Don Rehfeldt	rehfedo01
1952	BLB	Pep Saul	saulpe01
1952	BLB	Fred Scolari	scolafr01
1952	BLB	Jim Slaughter	slaugji01
1952	BLB	Belus Smawley	smawlbe01
1952	BLB	Brady Walker	walkebr01
1952	BOS	Bob Brannum	brannbo01
1952	BOS	Chuck Cooper	coopech01
1952	BOS	Bob Cousy	cousybo01
1952	BOS	Dick Dickey	dickedi01
1952	BOS	Bob Donham	donhabo01
1952	BOS	Bob Harris	harribo01
1952	BOS	Ed Macauley	macaued01
1952	BOS	John Mahnken	mahnkjo01
1952	BOS	Bones McKinney	mckinbo01
1952	BOS	Bill Sharman	sharmbi01
1952	FTW	Frankie Brian	brianfr01
1952	FTW	Art Burris	burriar01
1952	FTW	Bill Closs	clossbi01
1952	FTW	Dike Eddleman	eddledi01
1952	FTW	Jake Fendley	fendlja01
1952	FTW	Larry Foust	foustla01
1952	FTW	Ralph Johnson	johnsra01
1952	FTW	Jack Kerris	kerrija01
1952	FTW	Jack Kiley	kileyja01
1952	FTW	Don Otten	ottendo01
1952	FTW	Fred Schaus	schaufr01
1952	FTW	Chuck Share	sharech01
1952	FTW	Zeke Sinicola	sinicze01
1952	INO	Cliff Barker	barkecl01
1952	INO	Leo Barnhorst	barnhle01
1952	INO	Dillard Crocker	crockdi01
1952	INO	Joe Graboski	grabojo01
1952	INO	Joe Holland	hollajo01
1952	INO	Wah Wah Jones	joneswa01
1952	INO	Bob Lavoy	lavoybo01
1952	INO	Don Lofgran	lofgrdo01
1952	INO	Ralph O'Brien	obriera01
1952	INO	Bill Tosheff	toshebi01
1952	INO	Paul Walther	walthpa01
1952	MLH	Elmer Behnke	behnkel01
1952	MLH	Charlie Black	blackch01
1952	MLH	Don Boven	bovendo01
1952	MLH	Art Burris	burriar01
1952	MLH	Cal Christensen	chrisca01
1952	MLH	Dillard Crocker	crockdi01
1952	MLH	Nate DeLong	delonna01
1952	MLH	Dike Eddleman	eddledi01
1952	MLH	Jerry Fowler	fowleje01
1952	MLH	Mel Hutchins	hutchme01
1952	MLH	Walt Kirk	kirkwa01
1952	MLH	John McConathy	mcconjo01
1952	MLH	Dick Mehen	mehendi01
1952	MLH	Kevin O'Shea	osheake01
1952	MLH	Don Otten	ottendo01
1952	MLH	Red Owens	owensre01
1952	MLH	Don Rehfeldt	rehfedo01
1952	MLH	John Rennicke	rennijo01
