team,year,name,pts
PHW,1947,Joe Fulks,131
PHW,1947,George Senesky,57
PHW,1947,Angelo Musi,47
PHW,1947,Ralph Kaplowitz,44
PHW,1947,Howie Dallmar,43
PHW,1947,Jerry Fleishman,39
PHW,1947,Art Hillhouse,38
PHW,1947,Matt Guokas,1
PHW,1947,Petey Rosenberg,0
PHW,1947,Jerry Rullo,0
CHS,1947,Chick Halbert,72
CHS,1947,Don Carlson,62
CHS,1947,Jim Seminoff,52
CHS,1947,Max Zaslofsky,50
CHS,1947,Chet Carlisle,39
CHS,1947,Chuck Gilmur,34
CHS,1947,Tony Jaros,33
CHS,1947,Wilbert Kautz,13
CHS,1947,Mickey Rottner,8
CHS,1947,Bill Davis,6
CHS,1947,Doyle Parrack,2
BLB,1948,Connie Simmons,91
BLB,1948,Paul Hoffman,82
BLB,1948,Kleggie Hermsen,62
BLB,1948,Buddy Jeannette,53
BLB,1948,Chick Reiser,50
BLB,1948,Dick Schulz,41
BLB,1948,Grady Lewis,34
BLB,1948,Carl Meinhold,24
BLB,1948,Herm Fuetsch,6
BLB,1948,Herm Klotz,3
PHW,1948,Joe Fulks,141
PHW,1948,Chick Halbert,77
PHW,1948,George Senesky,58
PHW,1948,Howie Dallmar,53
PHW,1948,Ralph Kaplowitz,46
PHW,1948,Angelo Musi,31
PHW,1948,Bob O'Brien,12
PHW,1948,Chink Crossin,11
PHW,1948,Jerry Fleishman,11
PHW,1948,Hank Beenders,3
MNL,1949,George Mikan,165
MNL,1949,Herm Schaefer,77
MNL,1949,Jim Pollard,76
MNL,1949,Arnie Ferrin,45
MNL,1949,Don Carlson,37
MNL,1949,Tony Jaros,31
MNL,1949,Jack Dwan,17
MNL,1949,Donnie Forman,11
MNL,1949,Earl Gardner,4
MNL,1949,Johnny Jorgensen,4
MNL,1949,Whitey Kachan,4
WSC,1949,Jack Nichols,85
WSC,1949,Kleggie Hermsen,70
WSC,1949,Fred Scolari,64
WSC,1949,Sonny Hertzberg,57
WSC,1949,Bones McKinney,46
WSC,1949,Dick O'Keefe,30
WSC,1949,Johnny Norlander,27
WSC,1949,Dick Schulz,25
WSC,1949,Matt Zunic,17
WSC,1949,Leo Katkaveck,12
MNL,1950,George Mikan,193
MNL,1950,Jim Pollard,82
MNL,1950,Vern Mikkelsen,75
MNL,1950,Bud Grant,33
MNL,1950,Arnie Ferrin,29
MNL,1950,Slater Martin,26
MNL,1950,Don Carlson,23
MNL,1950,Bob Harrison,23
MNL,1950,Herm Schaefer,20
MNL,1950,Billy Hassett,3
MNL,1950,Tony Jaros,0
SYR,1950,Dolph Schayes,104
SYR,1950,Johnny Macknowski,82
SYR,1950,Alex Hannum,60
SYR,1950,George Ratkovicz,60
SYR,1950,Paul Seymour,45
SYR,1950,Bill Gabor,39
SYR,1950,Al Cervi,35
SYR,1950,Ed Peterson,29
SYR,1950,Andrew Levane,18
SYR,1950,Leroy Chollet,8
SYR,1950,Ray Corley,1
ROC,1951,Arnie Risen,152
ROC,1951,Bob Davies,119
ROC,1951,Arnie Johnson,87
ROC,1951,Bobby Wanzer,87
ROC,1951,Jack Coleman,62
ROC,1951,Red Holzman,33
ROC,1951,Bill Calhoun,17
ROC,1951,Joe McNamee,14
ROC,1951,Paul Noel,8
ROC,1951,Pep Saul,4
NYK,1951,Max Zaslofsky,133
NYK,1951,Vince Boryla,94
NYK,1951,Connie Simmons,85
NYK,1951,Harry Gallatin,76
NYK,1951,Nat Clifton,55
NYK,1951,Ernie Vandeweghe,47
NYK,1951,Dick McGuire,29
NYK,1951,Ray Lumpp,23
NYK,1951,Tony Lavelli,4
NYK,1951,George Kaftan,0
MNL,1952,George Mikan,152
MNL,1952,Vern Mikkelsen,92
MNL,1952,Pep Saul,91
MNL,1952,Jim Pollard,82
MNL,1952,Slater Martin,64
MNL,1952,Bob Harrison,49
MNL,1952,Lew Hitch,18
MNL,1952,Joe Hutton,16
MNL,1952,Howie Schultz,14
NYK,1952,Connie Simmons,103
NYK,1952,Max Zaslofsky,91
NYK,1952,Nat Clifton,73
NYK,1952,Ernie Vandeweghe,71
NYK,1952,Harry Gallatin,69
NYK,1952,Dick McGuire,65
NYK,1952,Alfred McGuire,33
NYK,1952,Ray Lumpp,32
NYK,1952,George Kaftan,19
MNL,1953,George Mikan,104
MNL,1953,Jim Pollard,72
MNL,1953,Vern Mikkelsen,61
MNL,1953,Slater Martin,51
MNL,1953,Pep Saul,43
MNL,1953,Whitey Skoog,27
MNL,1953,Jim Holstein,21
MNL,1953,Lew Hitch,17
MNL,1953,Bob Harrison,16
MNL,1953,Dick Schnittker,1
NYK,1953,Carl Braun,74
NYK,1953,Connie Simmons,74
NYK,1953,Ernie Vandeweghe,70
NYK,1953,Nat Clifton,51
NYK,1953,Harry Gallatin,45
NYK,1953,Vince Boryla,43
NYK,1953,Dick McGuire,28
NYK,1953,Jerry Fleishman,10
NYK,1953,Alfred McGuire,0
NYK,1953,Sherwin Raiken,0
NYK,1953,Dick Surhoff,0
MNL,1954,George Mikan,127
MNL,1954,Jim Pollard,76
MNL,1954,Clyde Lovellette,73
MNL,1954,Vern Mikkelsen,73
MNL,1954,Slater Martin,61
MNL,1954,Whitey Skoog,51
MNL,1954,Jim Holstein,25
MNL,1954,Pep Saul,21
MNL,1954,Dick Schnittker,16
SYR,1954,Paul Seymour,111
SYR,1954,Wally Osterkorn,81
SYR,1954,Bob Lavoy,75
SYR,1954,Dolph Schayes,65
SYR,1954,Billy Kenville,61
SYR,1954,Earl Lloyd,40
SYR,1954,George King,27
SYR,1954,Jim Neal,16
SYR,1954,Bill Gabor,13
SYR,1954,Al Masino,6
SYR,1955,Dolph Schayes,133
SYR,1955,Red Kerr,86
SYR,1955,Red Rocha,83
SYR,1955,Paul Seymour,75
SYR,1955,George King,67
SYR,1955,Earl Lloyd,65
SYR,1955,Billy Kenville,59
SYR,1955,Dick Farley,30
SYR,1955,Wally Osterkorn,26
SYR,1955,Jim Tucker,12
FTW,1955,Larry Foust,111
FTW,1955,Frankie Brian,110
FTW,1955,George Yardley,110
FTW,1955,Mel Hutchins,96
FTW,1955,Andy Phillip,59
FTW,1955,Bob Houbregs,56
FTW,1955,Monk Meineke,40
FTW,1955,Dick Rosenthal,28
FTW,1955,Max Zaslofsky,20
FTW,1955,Paul Walther,10
PHW,1956,Paul Arizin,138
PHW,1956,Tom Gola,69
PHW,1956,Jack George,68
PHW,1956,Neil Johnston,68
PHW,1956,Ernie Beck,60
PHW,1956,Joe Graboski,55
PHW,1956,George Dempsey,15
PHW,1956,Walt Davis,12
PHW,1956,Jackie Moore,2
FTW,1956,George Yardley,124
FTW,1956,Larry Foust,97
FTW,1956,Corky Devlin,59
FTW,1956,Bob Houbregs,50
FTW,1956,Mel Hutchins,43
FTW,1956,Frankie Brian,42
FTW,1956,Chuck Noble,25
FTW,1956,Odie Spears,13
FTW,1956,Andy Phillip,12
FTW,1956,Chuck Cooper,2
BOS,1957,Tom Heinsohn,168
BOS,1957,Bill Sharman,153
BOS,1957,Bob Cousy,145
BOS,1957,Bill Russell,93
BOS,1957,Frank Ramsey,81
BOS,1957,Arnie Risen,61
BOS,1957,Jim Loscutoff,54
BOS,1957,Jack Nichols,27
BOS,1957,Andy Phillip,22
BOS,1957,Dick Hemric,2
STL,1957,Bob Pettit,211
STL,1957,Cliff Hagan,113
STL,1957,Ed Macauley,104
STL,1957,Slater Martin,103
STL,1957,Jack McMahon,76
STL,1957,Jack Coleman,73
STL,1957,Chuck Share,48
STL,1957,Med Park,33
STL,1957,Irv Bemoras,9
