part	rank	time	name	year	day
1	96	Dec 10  00:11:52	Ben Greene	2015	10
1	97	Dec 10  00:11:53	pdcamilleri	2015	10
1	98	Dec 10  00:11:56	jneubrand	2015	10
1	99	Dec 10  00:12:01	yigal irani	2015	10
1	100	Dec 10  00:12:07	Exolent	2015	10
2	1	Dec 10  00:01:59	DSM	2015	10
2	2	Dec 10  00:02:13	glguy	2015	10
2	3	Dec 10  00:02:21	jneubrand	2015	10
2	4	Dec 10  00:02:26	❄⛄ eevee ⛄❄	2015	10
2	5	Dec 10  00:02:31	Jacob Young	2015	10
2	6	Dec 10  00:02:39	Andrew He	2015	10
2	7	Dec 10  00:02:51	jkseppan	2015	10
2	8	Dec 10  00:03:04	Sreeram Ramachandran	2015	10
2	9	Dec 10  00:03:10	marcusstuhr	2015	10
2	10	Dec 10  00:03:17	jweather	2015	10
2	11	Dec 10  00:03:22	Paul Hankin	2015	10
2	12	Dec 10  00:03:33	(anonymous user #35749)	2015	10
2	13	Dec 10  00:03:42	dsemi	2015	10
2	14	Dec 10  00:03:56	Erik Godard	2015	10
2	15	Dec 10  00:03:58	(anonymous user #8336)	2015	10
2	16	Dec 10  00:04:05	Marc-André Beaudet-Racine	2015	10
2	17	Dec 10  00:04:07	Eli Lipsitz	2015	10
2	18	Dec 10  00:04:10	Chris Egerton	2015	10
2	19	Dec 10  00:04:13	Andrew Skalski	2015	10
2	20	Dec 10  00:04:13	dragonnyxx	2015	10
2	21	Dec 10  00:04:27	hlian	2015	10
2	22	Dec 10  00:04:37	msullivan	2015	10
2	23	Dec 10  00:04:42	grencez	2015	10
2	24	Dec 10  00:04:55	vesche	2015	10
2	25	Dec 10  00:05:04	Henrik Hellenborg	2015	10
2	26	Dec 10  00:05:09	dylanhart	2015	10
2	27	Dec 10  00:05:10	0	2015	10
2	28	Dec 10  00:05:29	(anonymous user #6658)	2015	10
2	29	Dec 10  00:05:33	Talchas	2015	10
2	30	Dec 10  00:05:36	zosiu	2015	10
2	31	Dec 10  00:05:37	Rob Biedenharn	2015	10
2	32	Dec 10  00:05:40	Roderic Day	2015	10
2	33	Dec 10  00:05:42	kalven	2015	10
