index,title,date
5277,Milk Like Sugar,2011-11-01
5268,Million Dollar Quartet,2011-07-28
4372,Mimi le Duck,2006-11-06
4805,Mindgame,2008-11-09
3068,Ministry of Progress,2004-03-04
4005,Miracle Brothers,2005-09-18
5387,Miracle On South Division Street,2012-05-13
4974,Misalliance,2009-12-13
5124,"Miss Abigail's Guide to Dating, Mating, & Marriage",2010-10-24
6863,Miss America's Ugly Daughter,2020-01-17
3348,Miss Julie,2004-06-22
4071,Miss Witherspoon,2005-11-29
6470,Miss You Like Hell,2018-04-10
5111,Mistakes Were Made,2010-11-14
6524,Mlima's Tale,2018-04-15
3502,Modern Orthodox,2004-12-06
5478,"Modern Terrorism, or They Who Want to Kill Us and How We Learn to Love Them",2012-10-18
5051,Modotti,2010-06-11
6557,Mojada,2019-07-17
5189,Molly Sweeney,2011-01-30
2593,Mondo Drama,2003-05-22
6405,Money Talks,2017-07-23
3690,Moonlight and Magnolias,2005-03-29
6946,Morning Sun,2021-11-03
6977,Morning's at Seven,2021-11-15
4217,Moscow Cats Theatre,2006-02-03
6619,Moscow Moscow Moscow Moscow Moscow Moscow,2019-07-18
4038,Mother Courage,2005-09-07
6097,Mother Courage and Her Children,2016-01-19
6550,Mother of the Maid,2018-10-17
5273,Motherhood Out Loud,2011-10-04
6834,Mothers,2019-09-25
6108,MotherStruck!,2015-12-14
4782,Mourning Becomes Electra,2009-02-19
4781,Mouth to Mouth,2008-11-06
4991,Mr. & Mrs. Fitch,2010-02-22
5586,"Mr. Burns, a post-electric play",2013-09-15
5782,Mr. Chickee's Funny Money,2014-04-12
4366,Mr. Dooley's America,2006-08-16
3109,Mr. Fox: A Rumination,2004-04-13
5625,Mr. Joy,2013-04-08
4065,Mr. Marmalade,2005-11-20
6736,Mrs. Murray's Menagerie,2019-04-08
4198,Mrs. Warren's Profession,2005-12-18
6860,MsTRIAL,2019-12-05
3374,Much Ado About Nothing,2004-07-13
5521,Much Ado About Nothing,2013-02-17
5720,Much Ado About Nothing,2013-12-03
5829,Much Ado About Nothing,2014-06-16
6780,Much Ado About Nothing,2019-06-11
5500,Murder Ballad,2012-11-15
5610,Murder Ballad,2013-05-22
5648,Murder For Two,2013-07-25
5423,Murder in the First,2012-06-06
5670,My Big Gay Italian Funeral,2013-06-16
6124,My Big Gay Italian Midlife Crisis,2015-12-03
4609,My Big Gay Italian Wedding,2003-11-14
5014,My Big Gay Italian Wedding,2010-05-22
5582,My Big Gay Italian Wedding,2012-11-03
5374,My Children! My Africa!,2012-05-24
4568,My First Time,2007-07-28
6018,My Grandmother Prayed for Me,2015-05-05
6582,My Life on a Diet,2018-07-25
2214,My Life with Albertine,2003-03-13
5806,My Manana Comes,2014-09-04
5756,My Mother Has 4 Noses,2014-02-20
4413,"My Mother's Italian, My Father's Jewish & I'm in Therapy!",2006-12-08
5280,"My Mother's Italian, My Father's Jewish and I'm STILL in Therapy",2011-08-10
5513,My Name is Asher Lev,2012-11-28
4384,My Name is Rachel Corrie,2006-10-15
1481,My Old Lady,2002-10-03
6645,My Parsifal Conductor,2018-10-11
5872,"My Son the Waiter, A Jewish Tragedy",2014-10-19
5021,My Trip Down the Pink Carpet,2010-04-19
4847,My Vaudeville Man!,2008-11-17
6516,Nanette,2018-03-09
6696,Nantucket Sleigh Ride,2019-03-18
6379,"Napoli, Brooklyn",2017-06-27
6679,Nassim,2018-12-12
6233,Nat Turner in Jerusalem,2016-09-26
5632,"Natasha, Pierre & The Great Comet of 1812",2013-05-16
6157,Nathan the Wise,2016-04-13
6805,Native Son,2019-07-25
5533,Neva,2013-03-11
4593,Neva Small: Not Quite an Ingenue,2007-08-23
5927,Nevermore - The Imaginary Life and Mysterious Death of Edgar Allan Poe,2015-01-25
2825,New Boy,2003-05-28
5434,New Girl in Town,2012-07-26
4652,"New Jerusalem: The Interrogation of Baruch de Spinoza at Talmud Torah Congregation: Amsterdam, July 27, 1656",2008-01-13
3427,Newsical,2004-10-07
4966,NEWSical the Musical,2009-12-09
4914,Next Fall,2009-06-03
4658,Next to Normal,2008-02-13
630,Night and Her Stars,1995-04-26
6061,Night is a Room,2015-11-22
4896,Nightingale,2009-11-03
5596,Nikolai and the Others,2013-05-06
6286,Nina Conti: In Your Face,2016-12-14
3428,Nine Parts of Desire,2004-10-09
4359,Nixon's Nixon,2006-10-04
4357,No Child...,2006-07-16
5278,No Child...,2011-06-19
